seqid	start	stop	tir1	tir2	tsd1	tsd2	sim
NW_68312.1;;0	20460	23230	34	33	2	2	100.00
NW_68312.1;;0	46868	49444	44	44	3	3	100.00
NW_68312.1;;0	77214	78926	67	70	2	2	100.00
NW_68312.1;;0	97850	100514	20	20	2	2	100.00
NW_68312.1;;0	132613	132972	66	57	9	9	100.00
NW_68312.1;;0	169389	173429	28	26	2	2	100.00
NW_68312.1;;0	202210	203030	23	20	3	3	100.00
NW_68312.1;;0	212237	216050	24	21	2	2	91.30
NW_68312.1;;0	219152	220828	53	49	3	3	98.08
NW_68312.1;;0	222600	224260	135	130	2	2	86.57
NW_68312.1;;0	227487	230397	30	28	2	2	100.00
NW_68312.1;;0	241347	244689	799	794	4	4	97.62
NW_68312.1;;0	245524	246343	80	80	2	2	88.75
NW_68312.1;;0	250725	255697	50	47	3	3	100.00
NW_68313.1;;0	18536	22283	93	99	3	3	98.91
NW_68313.1;;0	32735	33541	113	110	2	2	96.43
NW_68313.1;;0	48353	48832	42	37	3	3	95.12
NW_68313.1;;0	62447	63588	20	17	3	3	100.00
NW_68313.1;;0	92088	95967	34	34	2	2	100.00
NW_68313.1;;0	133333	133493	51	55	2	2	98.04
NW_68313.1;;0	143840	143942	97	100	3	3	97.98
NW_68313.1;;0	169657	169844	174	181	7	7	98.89
NW_68313.1;;0	176495	178511	55	54	2	2	100.00
NW_68313.1;;0	188625	188827	27	25	2	2	100.00
NW_68313.1;;0	210655	215372	30	37	2	2	96.67
NW_68314.1;;0	15156	18265	97	95	2	2	100.00
NW_68314.1;;0	72159	73052	93	91	2	2	97.83
NW_68314.1;;0	91192	91409	21	19	2	2	100.00
NW_68314.1;;0	113977	114127	148	142	2	2	96.48
NW_68314.1;;0	125053	125998	55	54	3	3	98.15
NW_68314.1;;0	168640	169919	20	18	2	2	100.00
NW_68314.1;;0	187815	190931	40	34	6	6	100.00
NW_68314.1;;0	203059	206647	25	22	3	3	100.00
NW_68314.1;;0	222174	223937	47	45	5	5	97.83
NW_68314.1;;0	224942	225116	74	74	2	2	97.33
NW_68314.1;;0	225287	229686	90	96	3	3	83.33
NW_68314.1;;0	242204	242788	118	116	2	2	89.74
NW_68314.1;;0	243695	248155	102	98	2	2	94.06
NW_68314.1;;0	257563	258718	48	46	2	2	100.00
NW_68314.1;;0	297871	298197	24	23	2	2	100.00
NW_68314.1;;0	318161	318288	126	124	2	2	97.60
NW_68314.1;;0	335557	335605	45	47	2	2	95.65
NW_68314.1;;0	356575	358810	37	36	3	3	100.00
NW_68314.1;;0	367124	368585	129	124	2	2	91.41
NW_68314.1;;0	375738	376484	52	48	4	4	100.00
NW_68314.1;;0	496603	497418	47	44	3	3	100.00
NW_68314.1;;0	512223	512737	28	26	2	2	100.00
NW_68315.1;;0	9859	10921	61	59	2	2	100.00
NW_68315.1;;0	56061	58748	25	28	2	2	100.00
NW_68315.1;;0	62605	66278	24	33	4	4	100.00
NW_68315.1;;0	69826	74773	84	90	2	2	93.26
NW_68315.1;;0	91779	91877	95	97	2	2	93.75
NW_68315.1;;0	98855	100539	24	21	3	3	100.00
NW_68315.1;;0	101875	102707	77	76	2	2	85.71
NW_68315.1;;0	106447	106542	93	97	3	3	96.88
NW_68315.1;;0	121328	126386	62	56	6	6	100.00
NW_68315.1;;0	154334	158078	83	82	2	2	96.34
NW_68315.1;;0	165084	166200	34	32	2	2	100.00
NW_68315.1;;0	182285	182355	63	67	4	4	93.94
NW_68315.1;;0	190254	194038	45	45	2	2	100.00
NW_68315.1;;0	207705	209797	21	22	2	2	100.00
NW_68315.1;;0	211678	216360	49	46	5	5	100.00
NW_68315.1;;0	242546	244718	25	25	2	2	100.00
NW_68315.1;;0	253784	255256	31	26	2	2	93.75
NW_68315.1;;0	259585	262623	84	87	2	2	93.10
NW_68315.1;;0	282714	283494	30	30	2	2	100.00
NW_68315.1;;0	292342	295540	23	22	2	2	95.45
NW_68315.1;;0	296180	299278	64	62	3	3	98.44
NW_68315.1;;0	304845	310980	949	949	3	3	98.63
NW_68315.1;;0	327382	327764	89	87	2	2	97.73
NW_68316.1;;0	2137	6900	49	46	3	3	100.00
NW_68316.1;;0	48332	48532	39	34	5	5	100.00
NW_68316.1;;0	112725	112776	46	45	4	4	93.48
NW_68316.1;;0	113686	118269	37	33	4	4	100.00
NW_68316.1;;0	130045	131316	47	45	2	2	95.65
NW_68316.1;;0	131480	134709	76	77	3	3	98.68
NW_68316.1;;0	141596	144819	20	19	2	2	100.00
NW_68316.1;;0	182631	182822	33	32	5	5	100.00
NW_68316.1;;0	205652	206603	70	70	3	3	98.55
NW_68316.1;;0	212079	217017	31	30	3	3	100.00
NW_68316.1;;0	228021	230019	25	37	2	2	82.14
NW_68316.1;;0	235819	238335	38	42	2	2	97.37
NW_68316.1;;0	292743	297053	27	24	2	2	100.00
NW_68316.1;;0	318595	323095	24	23	3	3	100.00
NW_68316.1;;0	326848	331165	117	114	2	2	97.41
NW_68316.1;;0	340303	342353	65	74	2	2	100.00
NW_68316.1;;0	365814	366625	47	40	5	5	91.30
NW_68316.1;;0	366857	367125	38	41	2	2	89.47
NW_68316.1;;0	378359	378720	74	72	2	2	95.89
NW_68316.1;;0	386550	388085	37	35	3	3	100.00
NW_68316.1;;0	407304	407351	38	43	5	5	97.62
NW_68316.1;;0	416193	416323	128	129	3	3	95.35
NW_68316.1;;0	416927	417230	67	72	2	2	88.41
NW_68316.1;;0	438860	443601	30	28	2	2	100.00
NW_68316.1;;0	472963	473099	134	133	2	2	94.78
NW_68316.1;;0	479839	481937	27	25	2	2	100.00
NW_68316.1;;0	488364	489578	48	45	2	2	81.25
