seqid	start	stop	tir1	tir2	tsd1	tsd2	sim
NW_68302.1;;0	336	568	231	223	2	2	99.11
NW_68302.1;;0	25804	28222	39	42	3	3	100.00
NW_68302.1;;0	79516	84433	405	402	2	2	97.30
NW_68302.1;;0	87230	87344	23	22	2	2	100.00
NW_68302.1;;0	91820	92448	96	90	2	2	89.47
NW_68302.1;;0	100485	100603	36	35	6	6	100.00
NW_68302.1;;0	112350	113948	20	20	2	2	100.00
NW_68302.1;;0	146275	150585	20	17	3	3	100.00
NW_68302.1;;0	181255	181740	41	42	3	3	85.71
NW_68302.1;;0	187608	191135	45	37	8	8	100.00
NW_68302.1;;0	223808	224910	134	137	2	2	94.07
NW_68302.1;;0	234126	236552	46	49	3	3	100.00
NW_68302.1;;0	269826	274770	52	50	2	2	100.00
NW_68302.1;;0	284959	286208	100	97	2	2	98.99
NW_68302.1;;0	306420	306547	131	133	2	2	95.45
NW_68302.1;;0	312004	312156	150	148	2	2	98.66
NW_68302.1;;0	321213	323690	93	92	2	2	98.92
NW_68302.1;;0	339076	342317	103	106	2	2	92.38
NW_68302.1;;0	343001	344628	115	115	3	3	100.00
NW_68302.1;;0	388415	388455	39	39	2	2	95.00
NW_68302.1;;0	400042	401635	32	31	2	2	93.75
NW_68302.1;;0	415801	420813	39	38	2	2	100.00
NW_68302.1;;0	428185	428414	42	32	10	10	100.00
NW_68302.1;;0	435402	437098	35	33	2	2	100.00
NW_68302.1;;0	471594	472194	44	46	2	2	84.78
NW_68302.1;;0	474213	478689	23	21	3	3	100.00
NW_68302.1;;0	487047	487232	24	22	2	2	100.00
NW_68302.1;;0	501876	502019	62	53	2	2	80.33
NW_68302.1;;0	524488	524641	21	31	2	2	100.00
NW_68302.1;;0	533635	537874	77	74	3	3	100.00
NW_68302.1;;0	580995	583148	68	66	2	2	100.00
NW_68302.1;;0	595530	598087	32	30	2	2	100.00
NW_68303.1;;0	20040	20992	77	75	2	2	98.68
NW_68303.1;;0	32634	36804	44	41	3	3	100.00
